business,month,total_earnings
Lyft,4,297815.38000000035
Uber,5,313005114.5499741
Uber,4,295068927.2199952
Lyft,3,310276.5500000002
Uber,2,252155977.08998206
Lyft,1,239932.26000000015
Uber,3,295958496.00998116
Uber,1,250253480.66991255
Lyft,2,234875.53000000014
Lyft,5,360408.0900000004
