business,month,total_profit
Lyft,4,-90197.13
Uber,5,163133615.4899843
Uber,4,150269820.17998016
Lyft,3,-99403.94
Uber,2,130628805.63000622
Lyft,1,-72633.34999999999
Uber,3,152072876.40998197
Uber,1,133197111.61004505
Lyft,2,-70064.72
Lyft,5,-107719.21000000006
